[START OF SIMULATION]
0x00000000:	bun 173                  	PC=0x000002B8
0x000002B8:	mov sp,32764             	SP=0x00007FFC
0x000002BC:	call -168                	PC=MEM[0x00007FFC]=0x000002BC
0x000002C0:	call 16                  	PC=MEM[0x00007FFC]=0x000002C0
0x000002C4:	mov r0,0                 	R0=0x00000000
0x000002C8:	mov r0,0                 	R0=0x00000000
0x000002CC:	mov r0,0                 	R0=0x00000000
0x000002D0:	mov r0,0                 	R0=0x00000000
0x000002D4:	mov r0,0                 	R0=0x00000000
0x000002D8:	mov r0,0                 	R0=0x00000000
0x000002DC:	mov r0,0                 	R0=0x00000000
0x000002E0:	int 0                    	CR=0x00000000,PC=0x00000000
[END OF SIMULATION]
