[START OF SIMULATION]
0x00000000:	bun 173                  	PC=0x000002B8
0x000002B8:	mov sp,32764             	SP=0x00007FFC
0xE7FFFF58:	call -168                	PC=0xFFFFFD64,MEM[0x000002BC]=0xE7FFFF5C
0x000002C0:	mov r0,0                 	R0=0x00000000
0x000002C4:	mov r0,0                 	R0=0x00000000
0x000002C8:	mov r0,0                 	R0=0x00000000
0x000002CC:	mov r0,0                 	R0=0x00000000
0x000002D0:	mov r0,0                 	R0=0x00000000
0x000002D4:	mov r0,0                 	R0=0x00000000
0x000002D8:	mov r0,0                 	R0=0x00000000
0x000002DC:	mov r0,0                 	R0=0x00000000
0x000002E0:	int 0                    	CR=0x00000000,PC=0x00000000
[END OF SIMULATION]
